ranking,mld_res,mld.ps_res,card_rem,ratio_Rrem,ratio_Arem,jaccard_RR,jaccard_RA,jaccard_AR,jaccard_AA,jaccard_ARrd,jaccard_ARrem,url_length,dot_count,slash_count,hyphen_count,at_count,digit_count,has_https,label
10000000.0,1,0,6.0,132.5,137.666667,0.0,0.002381,0.0,0.002401,0.5625,0.829571,55,3,5,0,0,0,0,1
44061.0,1,0,3.0,105.666667,107.333333,0.003135,0.0,0.003145,0.0,0.666667,0.794944,33,2,2,0,0,1,0,1
10000000.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,2,1,0,0,4,0,1
836190.0,0,0,1.0,114.0,111.0,0.0,0.0,0.0,0.0,0.0,0.5625,42,3,4,0,0,17,0,1
10000000.0,0,0,4.0,52.25,51.5,0.0,0.0,0.0,0.0,0.0,0.751055,34,3,2,0,0,1,0,0
10000000.0,0,0,4.0,104.25,103.75,0.0,0.0,0.0,0.0,0.0,0.820569,54,4,4,0,0,0,0,1
10000000.0,0,0,2.0,187.5,185.0,0.0,0.0,0.0,0.0,0.0,0.844059,206,2,2,0,0,0,0,1
14969.0,1,0,1.0,265.0,268.0,0.0,0.0,0.0,0.0,0.916667,0.850694,27,2,2,0,0,4,0,0
10000000.0,0,0,3.0,66.666667,69.0,0.0,0.0,0.0,0.0,0.0,0.702929,31,3,1,0,0,0,0,0
781389.0,0,0,6.0,86.833333,90.166667,0.0,0.0,0.0,0.0,0.0,0.846957,64,3,3,0,0,0,0,0
5520.0,1,1,4.0,161.5,166.25,0.0,0.002946,0.0,0.002967,0.6875,0.774019,49,3,1,1,0,6,0,0
10000000.0,0,0,3.0,78.333333,77.0,0.0,0.0,0.0,0.0,0.0,0.785441,42,3,2,0,0,0,0,1
6807.0,1,0,2.0,206.0,198.0,0.0,0.00495,0.0,0.0,0.0,0.81573,28,3,1,0,0,0,0,1
10000000.0,1,0,2.0,117.0,115.0,0.0,0.0,0.0,0.0,0.714286,0.848606,32,2,2,1,0,0,0,0
4570.0,1,1,23.0,65.130435,63.826087,0.004651,0.004065,0.002663,0.002037,0.571429,0.818516,363,3,3,6,0,54,0,1
10000000.0,1,0,2.0,47.0,49.0,0.0,0.0,0.0,0.0,0.8,0.745455,34,2,2,1,0,0,0,0
10000000.0,0,0,4.0,76.25,83.25,0.0,0.0,0.0,0.0,0.0,0.640103,41,2,3,0,0,0,0,1
10000000.0,0,0,10.0,86.4,83.2,0.0,0.0,0.0,0.0,0.0,0.701103,103,7,5,0,0,26,0,1
151503.0,0,0,7.0,35.142857,34.571429,0.0,0.0,0.0,0.0,0.0,0.659864,77,4,2,0,0,0,0,1
22976.0,1,0,1.0,19.0,15.0,0.0,0.0,0.0,0.0,0.5,0.619048,34,2,2,0,0,1,0,0
10000000.0,0,0,2.0,50.5,41.5,0.0,0.0,0.0,0.0,0.0,0.735849,36,2,3,0,0,0,0,1
10000000.0,0,0,3.0,81.666667,80.0,0.0,0.0,0.0,0.0,0.0,0.678201,44,1,3,1,0,3,0,1
10000000.0,1,0,4.0,138.75,140.5,0.0,0.0,0.0,0.0,0.5,0.837171,40,3,3,1,0,0,0,1
10000000.0,0,0,3.0,55.333333,44.666667,0.0,0.0,0.0,0.0,0.0,0.714286,30,2,1,0,0,0,0,0
10000000.0,0,0,3.0,112.0,126.666667,0.0,0.0,0.0,0.0,0.0,0.79,54,1,5,0,0,19,0,1
14969.0,1,0,1.0,265.0,268.0,0.0,0.0,0.0,0.0,0.916667,0.850694,27,2,2,0,0,4,0,0
14969.0,1,0,1.0,265.0,268.0,0.0,0.0,0.0,0.0,0.916667,0.850694,26,2,2,0,0,3,0,0
12992.0,1,0,4.0,134.75,137.75,0.0,0.0,0.0,0.0,0.5,0.775244,38,5,1,1,0,0,0,0
337429.0,1,0,2.0,179.0,181.5,0.0,0.0,0.0,0.0,0.8125,0.811558,31,3,1,0,0,0,0,0
2547.0,1,1,2.0,26.5,21.5,0.027397,0.031746,0.030769,0.036364,0.636364,0.655172,30,2,3,0,0,0,0,0
99266.0,1,1,4.0,31.0,30.25,0.006849,0.014085,0.007194,0.014815,0.772727,0.701389,36,2,2,1,0,0,0,0
